glyph	on	kun	meaning
日	ニチ・ジツ	ひ	солнце; день
月	ゲツ・ガツ	つき	луна; месяц
火	カ	ひ	огонь
水	スイ	みず	вода
木	モク・ボク	き	дерево
金	キン・コン	かね	золото; деньги
土	ド・ト	つち	земля; почва
山	サン	やま	гора
川	セン	かわ	река
田	デン	た	рисовое поле
空	クウ	そら	небо; пустота
雨	ウ	あめ	дождь
雪	セツ	ゆき	снег
風	フウ	かぜ	ветер
花	カ	はな	цветок
草	ソウ	くさ	трава
林	リン	はやし	роща
森	シン	もり	лес
石	セキ・シャク	いし	камень
竹	チク	たけ	бамбук
人	ジン・ニン	ひと	человек
子	シ・ス	こ	ребёнок
女	ジョ・ニョ	おんな	женщина
男	ダン・ナン	おとこ	мужчина
母	ボ	はは	мать
父	フ	ちち	отец
友	ユウ	とも	друг
名	メイ・ミョウ	な	имя
目	モク	め	глаз
耳	ジ	みみ	ухо
口	コウ・ク	くち	рот
手	シュ	て	рука
足	ソク	あし	нога
力	リョク・リキ	ちから	сила
心	シン	こころ	сердце; душа
体	タイ・テイ	からだ	тело
一	イチ・イツ	ひとつ	один
二	ニ	ふたつ	два
三	サン	みっつ	три
四	シ	よっつ	четыре
五	ゴ	いつつ	пять
六	ロク	むっつ	шесть
七	シチ	ななつ	семь
八	ハチ	やっつ	восемь
九	キュウ・ク	ここのつ	девять
十	ジュウ	とお	десять
百	ヒャク		сто
千	セン	ち	тысяча
万	マン・バン		десять тысяч
上	ジョウ	うえ	верх
下	カ・ゲ	した	низ
左	サ	ひだり	левый
右	ウ・ユウ	みぎ	правый
中	チュウ	なか	середина; внутри
大	ダイ・タイ	おおきい	большой
小	ショウ	ちいさい	маленький
長	チョウ	ながい	длинный
高	コウ	たかい	высокий; дорогой
安	アン	やすい	дешёвый; спокойный
新	シン	あたらしい	новый
古	コ	ふるい	старый
白	ハク・ビャク	しろい	белый
黒	コク	くろい	чёрный
赤	セキ	あかい	красный
青	セイ・ショウ	あおい	синий; зелёный
見	ケン	みる	видеть
聞	ブン・モン	きく	слышать; слушать
言	ゲン・ゴン	いう	говорить
読	ドク・トク	よむ	читать
書	ショ	かく	писать
話	ワ	はなす	говорить; рассказ
食	ショク・ジキ	たべる	есть; пища
飲	イン	のむ	пить
行	コウ・ギョウ	いく	идти
来	ライ	くる	приходить
休	キュウ	やすむ	отдыхать
学	ガク	まなぶ	учиться
